branche de arbre | r_holo
iris d'un œil | r_holo
pupille d'un iris | r_holo
cristallin d'un œil | r_holo
tympan d'une oreille | r_holo
cochlée d'une oreille | r_holo
vestibule d'une oreille | r_holo
cordes vocales d'un larynx | r_holo
trachée d'un cou | r_holo
bronche d'un poumon | r_holo
alvéole d'un poumon | r_holo
diaphragme d'un thorax | r_holo
côtes d'une cage | r_holo
sternum d'un thorax | r_holo
vertèbre d'une colonne | r_holo
disque d'une vertèbre | r_holo
moelle d'un os | r_holo
cartilage d'une articulation | r_holo
tendon d'un muscle | r_holo
ligament d'une articulation | r_holo
capsule d'une articulation | r_holo
membrane d'une cellule | r_holo
cytoplasme d'une cellule | r_holo
noyau d'une cellule | r_holo
mitochondrie d'une cellule | r_holo
ribosome d'une cellule | r_holo
appareil de Golgi d'une cellule | r_holo
réticulum d'une cellule | r_holo
lysosome d'une cellule | r_holo
vacuole d'une cellule | r_holo
chloroplaste d'une cellule | r_holo
paroi d'une cellule | r_holo
flagelle d'une bactérie | r_holo
cil d'une cellule | r_holo
poil d'une peau | r_holo
cheveu d'une tête | r_holo
ongle d'un doigt | r_holo
plume d'un oiseau | r_holo
écaille d'un poisson | r_holo
carapace d'une tortue | r_holo
coquille d'un escargot | r_holo
corne d'un rhinocéros | r_holo
sabot d'un cheval | r_holo
griffe d'un lion | r_holo
crocs d'un serpent | r_holo
défense d'un éléphant | r_holo
antenne d'un insecte | r_holo
aile d'un papillon | r_holo
patte d'une araignée | r_holo
abdomen d'un insecte | r_holo
thorax d'un insecte | r_holo
tête d'un insecte | r_holo
mandibule d'une fourmi | r_holo
dard d'une guêpe | r_holo
trompe d'un papillon | r_holo
œil d'un insecte | r_holo
aile d'un oiseau | r_holo
bec d'un canard | r_holo
serre d'un aigle | r_holo
plume d'un paon | r_holo
crête d'un coq | r_holo
barbillon d'un poisson | r_holo
nageoire d'un requin | r_holo
ouïe d'un poisson | r_holo
branchies d'un poisson | r_holo
écailles d'un serpent | r_holo
crochet d'un serpent | r_holo
ventouse d'une pieuvre | r_holo
tentacule d'une méduse | r_holo
coquille d'une moule | r_holo
perle d'une huître | r_holo
carapace d'un crabe | r_holo
pince d'un homard | r_holo
antenne d'une crevette | r_holo
pattes d'un scorpion | r_holo
queue d'un scorpion | r_holo
dard d'un scorpion | r_holo
toile d'une araignée | r_holo
fil d'une soie | r_holo
cocon d'un ver | r_holo
chrysalide d'un papillon | r_holo
larve d'un moustique | r_holo
nymphe d'un insecte | r_holo
œuf d'une poule | r_holo
coquille d'un œuf | r_holo
jaune d'un œuf | r_holo
blanc d'un œuf | r_holo
chalaze d'un œuf | r_holo
germes d'une graine | r_holo
cotylédon d'une plante | r_holo
radicule d'une graine | r_holo
tégument d'une graine | r_holo
albumen d'une graine | r_holo
embryon d'une graine | r_holo
bourgeon d'un arbre | r_holo
méristème d'une plante | r_holo
phloème d'une plante | r_holo
xylème d'une plante | r_holo
cambium d'un arbre | r_holo
épiderme d'une feuille | r_holo
stomate d'une feuille | r_holo
chlorophylle d'une cellule | r_holo
parenchyme d'un tissu | r_holo
vaisseau d'une plante | r_holo
poil d'une racine | r_holo
nodule d'une racine | r_holo
rhizome d'une plante | r_holo
stolon d'un fraisier | r_holo
bulbe d'une plante | r_holo
tubercule d'une pomme de terre | r_holo
rhizoïde d'une mousse | r_holo
thalle d'une algue | r_holo
spore d'un champignon | r_holo
mycélium d'un champignon | r_holo
chapeau d'un champignon | r_holo
lamelle d'un champignon | r_holo
pied d'un champignon | r_holo
anneau d'un champignon | r_holo
volve d'un champignon | r_holo
branche d'une forêt | r_holo
racine d'une terre | r_holo
feuille d'une branche | r_holo
fleur d'une prairie | r_holo
pétale d'une corolle | r_holo
tige d'une herbe | r_holo
tronc d'une forêt | r_holo
écorce d'une protection | r_holo
sève d'une vie | r_holo
fruit d'une récolte | r_holo
graine d'une future | r_holo
bulbe d'une réserve | r_holo
épine d'une défense | r_holo
mousse d'une humidité | r_holo
lichen d'une symbiose | r_holo
champignon d'une forêt | r_holo
algue d'une eau | r_holo
corail d'une vie | r_holo
anémone d'une mer | r_holo
éponge d'une mer | r_holo
tête d'une statue | r_holo
cou d'une girafe | r_holo
épaule d'une anatomie | r_holo
bras d'une force | r_holo
avant-bras d'une extension | r_holo
coude d'une flexion | r_holo
poignet d'une mobilité | r_holo
main d'une habileté | r_holo
doigt d'une précision | r_holo
ongle d'une protection | r_holo
poitrine d'une respiration | r_holo
ventre d'une digestion | r_holo
dos d'une structure | r_holo
hanche d'une mobilité | r_holo
jambe d'une locomotion | r_holo
cuisse d'une puissance | r_holo
genou d'une articulation | r_holo
mollet d'une propulsion | r_holo
cheville d'une stabilité | r_holo
pied d'une marche | r_holo
orteil d'une équilibre | r_holo
cerveau d'une intelligence | r_holo
œil d'une vision | r_holo
oreille d'une audition | r_holo
nez d'une odorat | r_holo
bouche d'une alimentation | r_holo
dent d'une mastication | r_holo
langue d'une gustation | r_holo
gorge d'une déglutition | r_holo
cœur d'une circulation | r_holo
poumon d'une respiration | r_holo
estomac d'une digestion | r_holo
foie d'une détoxication | r_holo
rein d'une filtration | r_holo
peau d'une protection | r_holo
os d'une structure | r_holo
muscle d'une mouvement | r_holo
nerf d'une transmission | r_holo
veine d'une retour | r_holo
artère d'une oxygénation | r_holo
sang d'une vie | r_holo
cellule d'une unité | r_holo
chromosome d'une information | r_holo
ADN d'une hérédité | r_holo
gène d'une caractéristique | r_holo
protéine d'une fonction | r_holo
enzyme d'une catalyse | r_holo
hormone d'une régulation | r_holo
neurone d'une transmission | r_holo
synapse d'une connexion | r_holo
axone d'une conduction | r_holo
dendrite d'une réception | r_holo
rétine d'une image | r_holo
cornée d'une réfraction | r_holo
iris d'une ouverture | r_holo
pupille d'une lumière | r_holo
cristallin d'une accommodation | r_holo
tympan d'une vibration | r_holo
cochlée d'une fréquence | r_holo
vestibule d'une équilibre | r_holo
cordes vocales d'une phonation | r_holo
trachée d'une air | r_holo
bronche d'une ramification | r_holo
alvéole d'une échange | r_holo
diaphragme d'une inspiration | r_holo
côtes d'une protection | r_holo
sternum d'une attache | r_holo
vertèbre d'une mobilité | r_holo
disque d'une amortissement | r_holo
moelle d'une production | r_holo
cartilage d'une souplesse | r_holo
tendon d'une transmission | r_holo
ligament d'une stabilité | r_holo
capsule d'une synoviale | r_holo
membrane d'une perméabilité | r_holo
cytoplasme d'une métabolisme | r_holo
noyau d'une information | r_holo
mitochondrie d'une énergie | r_holo
ribosome d'une synthèse | r_holo
appareil de Golgi d'une sécrétion | r_holo
réticulum d'une production | r_holo
lysosome d'une digestion | r_holo
vacuole d'une stockage | r_holo
chloroplaste d'une photosynthèse | r_holo
paroi d'une rigidité | r_holo
flagelle d'une mobilité | r_holo
cil d'une protection | r_holo
poil d'une isolation | r_holo
cheveu d'une pousse | r_holo
ongle d'une kératine | r_holo
plume d'une isolation | r_holo
écaille d'une protection | r_holo
carapace d'une dureté | r_holo
coquille d'une calcification | r_holo
corne d'une kératine | r_holo
sabot d'une usure | r_holo
griffe d'une préhension | r_holo
crocs d'une injection | r_holo
défense d'une ivoire | r_holo
antenne d'une détection | r_holo
aile d'une vol | r_holo
patte d'une locomotion | r_holo
abdomen d'une digestion | r_holo
thorax d'une protection | r_holo
tête d'une sens | r_holo
mandibule d'une mastication | r_holo
dard d'une défense | r_holo
trompe d'une succion | r_holo
œil d'une vision | r_holo
aile d'une envol | r_holo
bec d'une alimentation | r_holo
serre d'une saisie | r_holo
plume d'une parade | r_holo
crête d'une reconnaissance | r_holo
barbillon d'une détection | r_holo
nageoire d'une propulsion | r_holo
ouïe d'une audition | r_holo
branchies d'une respiration | r_holo
écailles d'une protection | r_holo
crochet d'une inoculation | r_holo
ventouse d'une adhérence | r_holo
tentacule d'une capture | r_holo
coquille d'une filtration | r_holo
perle d'une sécrétion | r_holo
carapace d'une mue | r_holo
pince d'une défense | r_holo
antenne d'une chimioréception | r_holo
pattes d'une marche | r_holo
queue d'une équilibre | r_holo
dard d'une défense | r_holo
toile d'une capture | r_holo
fil d'une soie | r_holo
cocon d'une protection | r_holo
chrysalide d'une métamorphose | r_holo
larve d'une croissance | r_holo
nymphe d'une maturation | r_holo
œuf d'une reproduction | r_holo
coquille d'une protection | r_holo
jaune d'une nutrition | r_holo
blanc d'une protection | r_holo
chalaze d'une fixation | r_holo
germes d'une vie | r_holo
cotylédon d'une nutrition | r_holo
radicule d'une racine | r_holo
tégument d'une protection | r_holo
albumen d'une réserve | r_holo
embryon d'une vie | r_holo
bourgeon d'une croissance | r_holo
méristème d'une croissance | r_holo
phloème d'une sève | r_holo
xylème d'une eau | r_holo
cambium d'une croissance | r_holo
épiderme d'une protection | r_holo
stomate d'une respiration | r_holo
chlorophylle d'une photosynthèse | r_holo
parenchyme d'une fonction | r_holo
vaisseau d'un transport | r_holo
poil d'une absorption | r_holo
nodule d'une fixation | r_holo
rhizome d'une reproduction | r_holo
stolon d'une propagation | r_holo
bulbe d'une réserve | r_holo
tubercule d'une réserve | r_holo
rhizoïde d'une fixation | r_holo
thalle d'une structure | r_holo
spore d'une reproduction | r_holo
mycélium d'une nutrition | r_holo
chapeau d'une sporulation | r_holo
lamelle d'une sporulation | r_holo
pied d'une structure | r_holo
anneau d'une protection | r_holo
volve d'une protection | r_holo
nervure de feuille | r_holo
limbe de feuille | r_holo
pétiole de feuille | r_holo
stipule de tige | r_holo
lenticelle de tige | r_holo
aisselle de branche | r_holo
apex de tige | r_holo
noeud de tige | r_holo
entre-noeud de tige | r_holo
moelle de tige | r_holo
écorce interne de tronc | r_holo
aubier de tronc | r_holo
duramen de tronc | r_holo
cernes de tronc | r_holo
rayon médullaire de tronc | r_holo
péricarpe de fruit | r_holo
mésocarpe de fruit | r_holo
endocarpe de fruit | r_holo
épicarpe de fruit | r_holo
pépin de fruit | r_holo
noyau de fruit | r_holo
arille de graine | r_holo
tégument de graine | r_holo
hilum de graine | r_holo
micropyle de graine | r_holo
radicule de embryon | r_holo
gemmule de embryon | r_holo
coléoptile de embryon | r_holo
coléorhize de embryon | r_holo
scutellum de embryon | r_holo
épi de blé | r_holo
glume de épi | r_holo
glumelle de fleur | r_holo
palea de fleur | r_holo
lemma de fleur | r_holo
étamine de fleur | r_holo
filet de étamine | r_holo
anthère de étamine | r_holo
pollen de anthère | r_holo
pistil de fleur | r_holo
stigmate de pistil | r_holo
style de pistil | r_holo
ovaire de pistil | r_holo
ovule de ovaire | r_holo
nucelle de ovule | r_holo
sac embryonnaire de ovule | r_holo
réceptacle de fleur | r_holo
pédoncule de fleur | r_holo
sépale de fleur | r_holo
pétale de corolle | r_holo
corolle de fleur | r_holo
calice de fleur | r_holo
péricycle de racine | r_holo
endoderme de racine | r_holo
cortex de racine | r_holo
coiffe de racine | r_holo
zone pilifère de racine | r_holo
méristème apical de racine | r_holo
assise pilifère de racine | r_holo
poil absorbant de racine | r_holo
nodule racinaire de légumineuse | r_holo
bactérioïde de nodule | r_holo
thylakoïde de chloroplaste | r_holo
granum de chloroplaste | r_holo
stroma de chloroplaste | r_holo
enveloppe de chloroplaste | r_holo
lamelle de chloroplaste | r_holo
pigment de chloroplaste | r_holo
caroténoïde de chromoplaste | r_holo
xanthophylle de chromoplaste | r_holo
amidon de leucoplaste | r_holo
plaste de cellule | r_holo
proplaste de cellule | r_holo
étioplaste de cellule | r_holo
vacuome de cellule | r_holo
tonoplaste de vacuole | r_holo
suc vacuolaire de vacuole | r_holo
paroi primaire de cellule | r_holo
paroi secondaire de cellule | r_holo
lamelle moyenne de paroi | r_holo
plasmodesme de paroi | r_holo
desmotubule de plasmodesme | r_holo
ergastoplasme de cellule | r_holo
ribosome libre de cytoplasme | r_holo
polysome de cytoplasme | r_holo
centrosome de cellule | r_holo
centriole de centrosome | r_holo
microtubule de cytosquelette | r_holo
filament intermédiaire de cytosquelette | r_holo
microfilament de cytosquelette | r_holo
actine de microfilament | r_holo
myosine de microfilament | r_holo
tubuline de microtubule | r_holo
kinésine de microtubule | r_holo
dyneine de microtubule | r_holo
membrane plasmique de cellule | r_holo
phospholipide de membrane | r_holo
protéine intégrale de membrane | r_holo
protéine périphérique de membrane | r_holo
glycocalyx de membrane | r_holo
cholestérol de membrane | r_holo
canal ionique de membrane | r_holo
pompe sodium-potassium de membrane | r_holo
récepteur de membrane | r_holo
enveloppe nucléaire de noyau | r_holo
pore nucléaire de enveloppe | r_holo
complexe de pore de noyau | r_holo
lamina nucléaire de noyau | r_holo
chromatine de noyau | r_holo
euchromatine de noyau | r_holo
hétérochromatine de noyau | r_holo
nucléole de noyau | r_holo
ARN ribosomal de nucléole | r_holo
protéine ribosomale de nucléole | r_holo
matrice de mitochondrie | r_holo
crête de mitochondrie | r_holo
membrane interne de mitochondrie | r_holo
membrane externe de mitochondrie | r_holo
espace intermembranaire de mitochondrie | r_holo
ADN mitochondrial de mitochondrie | r_holo
ribosome mitochondrial de mitochondrie | r_holo
ATP synthase de mitochondrie | r_holo
chaîne respiratoire de mitochondrie | r_holo
cytochrome de mitochondrie | r_holo
ubiquinone de mitochondrie | r_holo
face cis de appareil de Golgi | r_holo
face trans de appareil de Golgi | r_holo
citerne de appareil de Golgi | r_holo
vésicule de transition de réticulum | r_holo
vésicule sécrétrice de Golgi | r_holo
lysosome primaire de cellule | r_holo
lysosome secondaire de cellule | r_holo
enzyme lysosomale de lysosome | r_holo
autophagosome de cellule | r_holo
hétérophagosome de cellule | r_holo
corps résiduel de lysosome | r_holo
peroxysome de cellule | r_holo
catalase de peroxysome | r_holo
glyoxysome de cellule | r_holo
mélanosome de cellule | r_holo
mélanine de mélanosome | r_holo
liposome de cellule | r_holo
glycogénosome de cellule | r_holo
inclusion de cytoplasme | r_holo
cristal de inclusion | r_holo
gouttelette lipidique de cytoplasme | r_holo
granule de sécrétion de cytoplasme | r_holo
granule de pigment de cytoplasme | r_holo
axonème de cil | r_holo
doublet de microtubule de axonème | r_holo
paire centrale de microtubule de axonème | r_holo
dyneine de bras de microtubule | r_holo
radial spoke de axonème | r_holo
membrane ciliaire de cil | r_holo
corps basal de cil | r_holo
centriole de corps basal | r_holo
fibre striée de cil | r_holo
appareil de fixation de cil | r_holo
membrane flagellaire de flagelle | r_holo
hameçon de flagelle | r_holo
filament de flagelle | r_holo
capsule de bactérie | r_holo
paroi de bactérie | r_holo
membrane de bactérie | r_holo
mésosome de bactérie | r_holo
nucleoïde de bactérie | r_holo
plasmide de bactérie | r_holo
fimbriae de bactérie | r_holo
pili de bactérie | r_holo
endospore de bactérie | r_holo
toxine de bactérie | r_holo
enveloppe de virus | r_holo
capside de virus | r_holo
capsomère de capside | r_holo
acide nucléique de virus | r_holo
protéine de structure de virus | r_holo
enzyme de virus | r_holo
spicule de virus | r_holo
membrane de virus enveloppé | r_holo
glycoprotéine de enveloppe | r_holo
peplomère de virus | r_holo
matrice de capside | r_holo
core de virus | r_holo
précurseur de protéine de virus | r_holo
ARN polymérase de virus | r_holo
réverse transcriptase de virus | r_holo
intégrase de virus | r_holo
protéase de virus | r_holo
neuraminidase de virus | r_holo
hémagglutinine de virus | r_holo
antigène de surface de virus | r_holo
récepteur de pénétration de virus | r_holo
canal ionique viroporine de virus | r_holo
endonucléase de virus | r_holo
exonucléase de virus | r_holo
ligase de virus | r_holo
kinase de virus | r_holo
phosphatase de virus | r_holo
ubiquitine de virus | r_holo
interféron de cellule | r_holo
anticorps de système immunitaire | r_holo
antigène de pathogène | r_holo
épitope de antigène | r_holo
