dégât de tempête | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
(colmatage de la poussière) de la ventilation | r_has_causatif
(cassure de la contrainte) de la poutre | r_has_causatif
(arrêt de la panne) de la pompe | r_has_causatif
(fumée de la combustion) de la bougie | r_has_causatif
(rouille de la condensation) de la canalisation | r_has_causatif
(écorchure de la chute) de la bicyclette | r_has_causatif
(tache de la graisse) de la poêle | r_has_causatif
(allergie de la poussière) de la maison | r_has_causatif
(fissure de la chaleur) de la vitre | r_has_causatif
(déformation de la chaleur) de la pièce | r _has _causatif
(oxydation de la vapeur) de la conduite | r _has _causatif
(craquelure de la sécheresse) de la terre | r _has _causatif
(tache de la moisissure) de la cloison | r _has _causatif
(cassure de la surcharge) de la poutre | r _has _causatif
(affaiblissement de la rouille) de la structure | r _has _causatif
(brûlure de la flamme) de la bougie | r _has _causatif
(fissure de la fatigue) de la paroi | r _has _causatif
(surchauffe de la friction) de la machine | r _has _causatif
(arrachement de la tempête) de la toiture | r _has _causatif
(odeur de la fermentation) de la cave | r _has _causatif
(intoxication de la viande) de la cuisson | r _has _causatif
(gel de la température) de la canalisation | r _has _causatif
(décoloration de la lumière) de la tapisserie | r _has _causatif
(casse de la contrainte) de la pièce | r _has _causatif
(écoulement de la pluie) de la gouttière | r _has _causatif
(tremblement de la secousse) de la maison | r _has _causatif
(fumée de la combustion) de la cheminée | r _has _causatif
(éclatement de la pression) de la canalisation | r _has _causatif
(coupure de la surtension) de la ligne | r _has _causatif
dégât d' inondation | r_has_causatif
brûlure d' huile | r_has_causatif
blessure d' accident | r_has_causatif
infection d' plaie | r_has_causatif
crise d' asthme | r_has_causatif
perte d' énergie | r_has_causatif
dommages d' explosion | r_has_causatif
panne d' ordinateur | r_has_causatif
tache d' peinture | r_has_causatif
fissure d' verre | r_has_causatif
surcharge d' travail | r_has_causatif
gêne d' anxiété | r_has_causatif
éclat d' explosion | r_has_causatif
coupure d' couteau | r_has_causatif
malaise d' épuisement | r_has_causatif
intoxication d' alcool | r_has_causatif
fatigue d' effort | r_has_causatif
choc d' impact | r_has_causatif
déformation d' métal | r_has_causatif
fuite d' air | r_has_causatif
crampe d' exercice | r_has_causatif
perte d' appétit | r_has_causatif
délai d' expédition | r_has_causatif
grève d' ouvriers | r_has_causatif
dommages d' vent | r_has_causatif
détérioration d' infrastructure | r_has_causatif
cicatrice d' coup | r_has_causatif
odeur d' fumée | r_has_causatif
carie d' sucre | r_has_causatif
rouille d' humidité | r_has_causatif
risque d' infection | r_has_causatif
accident d' voiture | r_has_causatif
fuite d' eau | r_has_causatif
irritation d' crème | r_has_causatif
trouble d' humeur | r_has_causatif
perte d' argent | r_has_causatif
dégradation d' qualité | r_has_causatif
perte d' équilibre | r_has_causatif
dommage d' choc | r_has_causatif
rouille d' chaleur | r_has_causatif
brûlure d' chaleur | r_has_causatif
incendie d' forêt | r_has_causatif
intoxication d' nourriture | r_has_causatif
chute d' objet | r_has_causatif
fissure d' roche | r_has_causatif
allergie d' pollen | r_has_causatif
panne d' électricité | r_has_causatif
blocage d' route | r_has_causatif
bruit d' moteur | r_has_causatif
perte d' information | r_has_causatif
rupture d' câble | r_has_causatif
effet d' alcool | r_has_causatif
dommages d' sable | r_has_causatif
panique d' alarme | r_has_causatif
pression d' air | r_has_causatif
lésion d' impact | r_has_causatif
dégât d' huile | r_has_causatif
mouvement d' air | r_has_causatif
fracture d' os | r_has_causatif
endommagement d' appareil | r_has_causatif
détérioration d' objet | r_has_causatif
dommages d' pluie | r_has_causatif
obstruction d' conduit | r_has_causatif
écoulement d' eau | r_has_causatif
accident d' train | r_has_causatif
coup d' épée | r_has_causatif
perte d' conscience | r_has_causatif
fuite d' gaz | r_has_causatif
inondation d' égout | r_has_causatif
débris d' explosion | r_has_causatif
détérioration d' environnement | r_has_causatif
éclatement d' pneu | r_has_causatif
intoxication d' médicament | r_has_causatif
explosion d' usine | r_has_causatif
battement d' ailes | r_has_causatif
brûlure d' eau | r_has_causatif
fracture d' os | r_has_causatif
tache d' encre | r_has_causatif
dommages d' accident | r_has_causatif
coupure d' objet | r_has_causatif
fatigue d' effort | r_has_causatif
fuite d' eau | r_has_causatif
déformation d' métal | r_has_causatif
gêne d' infection | r_has_causatif
cicatrice d' brûlure | r_has_causatif
panne d' électricité | r_has_causatif
blessure d' chute | r_has_causatif
détérioration d' peinture | r_has_causatif
écrasement d' objet | r_has_causatif
glaçon d' eau | r_has_causatif
infection d' plaie | r_has_causatif
dommage d' usure | r_has_causatif
fissure d' béton | r_has_causatif
poussée d' acné | r_has_causatif
douleur d' entorse | r_has_causatif
incendie d' forêt | r_has_causatif
perte d' appétit | r_has_causatif
détérioration d' équipement | r_has_causatif
blocage d' circulation | r_has_causatif
dégât d'un incendie | r_has_causatif
brûlure d'un fer | r_has_causatif
cicatrice d'un couteau | r_has_causatif
inondation d'un barrage | r_has_causatif
panne d'un câble | r_has_causatif
tache d'un stylo | r_has_causatif
carie d'un sucre | r_has_causatif
rouille d'un sel | r_has_causatif
fumée d'un moteur | r_has_causatif
intoxication d'un champignon | r_has_causatif
fièvre d'un microbe | r_has_causatif
écorchure d'un gravier | r_has_causatif
fissure d'un gel | r_has_causatif
retard d'un embouteillage | r_has_causatif
casse d'un choc | r_has_causatif
usure d'un frottement | r_has_causatif
odeur d'un égout | r_has_causatif
crampe d'un exercice | r_has_causatif
allergie d'un pollen | r_has_causatif
panne d'un fusible | r_has_causatif
colmatage d'un calcaire | r_has_causatif
intoxication d'un gaz | r_has_causatif
irritation d'un savon | r_has_causatif
fissure d'un séisme | r_has_causatif
explosion d'un réservoir | r_has_causatif
court-circuit d'un fil | r_has_causatif
gel d'un froid | r_has_causatif
surchauffe d'un radiateur | r_has_causatif
corrosion d'un acide | r_has_causatif
décoloration d'un soleil | r_has_causatif
étouffement d'un gaz | r_has_causatif
empoisonnement d'un poison | r_has_causatif
sécheresse d'un vent | r_has_causatif
affaissement d'un tassement | r_has_causatif
blocage d'un obstacle | r_has_causatif
déchirure d'un clou | r_has_causatif
perforation d'un éclat | r_has_causatif
asphyxie d'un fumée | r_has_causatif
inflammation d'un frottement | r_has_causatif
érosion d'un courant | r_has_causatif
effondrement d'un poids | r_has_causatif
noyade d'un courant | r_has_causatif
électrocution d'un contact | r_has_causatif
congestion d'un accident | r_has_causatif
débordement d'un torrent | r_has_causatif
éboulement d'un glissement | r_has_causatif
givre d'un froid | r_has_causatif
moisissure d'un humidité | r_has_causatif
pourriture d'un eau | r_has_causatif
oxydation d'un air | r_has_causatif
déformation d'un chaleur | r_has_causatif
gonflement d'un eau | r_has_causatif
rétrécissement d'un lavage | r_has_causatif
décollement d'un humidité | r_has_causatif
craquelure d'un sécheresse | r_has_causatif
engourdissement d'un froid | r_has_causatif
vertige d'un mouvement | r_has_causatif
nausée d'un odeur | r_has_causatif
migraine d'un bruit | r_has_causatif
cécité d'un flash | r_has_causatif
surdité d'un explosion | r_has_causatif
paralysie d'un poison | r_has_causatif
convulsion d'un choc | r_has_causatif
syncope d'un chaleur | r_has_causatif
hypothermie d'un immersion | r_has_causatif
déshydratation d'un chaleur | r_has_causatif
suffocation d'un fumée | r_has_causatif
hémorragie d'un coupure | r_has_causatif
infection d'un bactérie | r_has_causatif
inflammation d'un piqûre | r_has_causatif
gonflement d'un piqûre | r_has_causatif
démangeaison d'un piqûre | r_has_causatif
éruption d'un allergie | r_has_causatif
cloque d'un brûlure | r_has_causatif
hématome d'un coup | r_has_causatif
fracture d'un chute | r_has_causatif
entorse d'un torsion | r_has_causatif
luxation d'un mouvement | r_has_causatif
tendinite d'un surmenage | r_has_causatif
courbature d'un effort | r_has_causatif
fatigue d'un travail | r_has_causatif
épuisement d'un marathon | r_has_causatif
stress d'un examen | r_has_causatif
angoisse d'un attente | r_has_causatif
insomnie d'un stress | r_has_causatif
cauchemar d'un trauma | r_has_causatif
amnésie d'un choc | r_has_causatif
confusion d'un coup | r_has_causatif
étourdissement d'un rotation | r_has_causatif
malaise d'un jeûne | r_has_causatif
faiblesse d'un privation | r_has_causatif
tremblement d'un froid | r_has_causatif
frisson d'un fièvre | r_has_causatif
sueur d'un effort | r_has_causatif
rougeur d'un chaleur | r_has_causatif
pâleur d'un choc | r_has_causatif
toux d'un fumée | r_has_causatif
éternuement d'un poussière | r_has_causatif
larmoiement d'un vent | r_has_causatif
écoulement d'un rhume | r_has_causatif
congestion d'un allergie | r_has_causatif
obstruction d'un mucus | r_has_causatif
sifflement d'un asthme | r_has_causatif
essoufflement d'un course | r_has_causatif
palpitation d'un stress | r_has_causatif
tachycardie d'un peur | r_has_causatif
hypertension d'un stress | r_has_causatif
crise d'un anxiété | r_has_causatif
spasme d'un crampe | r_has_causatif
contraction d'un effort | r_has_causatif
raideur d'un froid | r_has_causatif
douleur d'un blessure | r_has_causatif
élancement d'un plaie | r_has_causatif
picotement d'un ortie | r_has_causatif
brûlure d'un piment | r_has_causatif
irritation d'un rasage | r_has_causatif
gerçure d'un froid | r_has_causatif
crevasse d'un sécheresse | r_has_causatif
desquamation d'un brûlure | r_has_causatif
boursoufflure d'un chaleur | r_has_causatif
ampoule d'un frottement | r_has_causatif
durillon d'un pression | r_has_causatif
cal d'un frottement | r_has_causatif
bleu d'un choc | r_has_causatif
ecchymose d'un coup | r_has_causatif
plaie d'un coupure | r_has_causatif
entaille d'un lame | r_has_causatif
lacération d'un fil | r_has_causatif
perforation d'un objet | r_has_causatif
piqûre d'un aiguille | r_has_causatif
morsure d'un chien | r_has_causatif
griffure d'un chat | r_has_causatif
écorchure d'un aspérité | r_has_causatif
éraflure d'un frottement | r_has_causatif
abrasion d'un frottement | r_has_causatif
contusion d'un impact | r_has_causatif
traumatisme d'un accident | r_has_causatif
commotion d'un choc | r_has_causatif
lésion d'un coup | r_has_causatif
dommage d'un choc | r_has_causatif
détérioration d'un usage | r_has_causatif
dégradation d'un temps | r_has_causatif
altération d'un chaleur | r_has_causatif
corruption d'un virus | r_has_causatif
contamination d'un contact | r_has_causatif
pollution d'un usine | r_has_causatif
salissure d'un boue | r_has_causatif
souillure d'un liquide | r_has_causatif
encrassement d'un poussière | r_has_causatif
obstruction d'un dépôt | r_has_causatif
engorgement d'un graisse | r_has_causatif
bouchage d'un cheveu | r_has_causatif
saturation d'un usage | r_has_causatif
surcharge d'un poids | r_has_causatif
débordement d'un flux | r_has_causatif
fuite d'un fissure | r_has_causatif
écoulement d'un fuite | r_has_causatif
suintement d'un humidité | r_has_causatif
infiltration d'un eau | r_has_causatif
pénétration d'un liquide | r_has_causatif
imprégnation d'un odeur | r_has_causatif
absorption d'un liquide | r_has_causatif
évaporation d'un chaleur | r_has_causatif
condensation d'un froid | r_has_causatif
cristallisation d'un froid | r_has_causatif
solidification d'un froid | r_has_causatif
liquéfaction d'un chaleur | r_has_causatif
fusion d'un chaleur | r_has_causatif
dissolution d'un eau | r_has_causatif
précipitation d'un réaction | r_has_causatif
coagulation d'un chaleur | r_has_causatif
caillage d'un acide | r_has_causatif
fermentation d'un levure | r_has_causatif
putréfaction d'un bactérie | r_has_causatif
décomposition d'un chaleur | r_has_causatif
désintégration d'un temps | r_has_causatif
émiettement d'un choc | r_has_causatif
pulvérisation d'un broyage | r_has_causatif
fragmentation d'un explosion | r_has_causatif
éclatement d'un pression | r_has_causatif
rupture d'un tension | r_has_causatif
cassure d'un choc | r_has_causatif
brisure d'un chute | r_has_causatif
